cnpj_nome;contribuinte_icms;consumidor_final;endereco;bairro;cidade;uf;cep
59.838.781/0001-30 - BL COMERCIAL OFFSHORE LTDA;Não;Cons.Final;RUA DOS UMBUS 01;MORADA DE LARANJEIRAS;SERRA;ES;29166-836
60.435.351/0019-86 - DOW BRASIL INDUSTRIA E COMERCIO DE PRODU;Não;Cons.Final;FAZENDA CABOTO GUARA SN - FAZENDA;ILHA DE MATARANDIBA;VERA CRUZ;BA;44470-000
60.701.190/0001-04 - ITAU UNIBANCO S.A.;Não;Cons.Final;PRACA ALFREDO EGYDIO DE SOUZA ARANHA 100;PARQUE JABAQUARA;SAO PAULO;SP;04344-902
61.329.181/0005-12 - ETESCO CONSTRUCOES E COMERCIO LTDA;Sim;Cons.Final;RODOVIA MANOEL DO PRADO FRANCO S/N;ARATU;NOSSA SENHORA DO SOCORRO;SE;49164-899
61.479.002/0001-08 - VOESTALPINE BOHLER WELDING SOLDAS DO BRA;Sim;Cons.Final;RUA ARNALDO MAGNICCARO, 371;;SAO PAULO;SP;04691-060
73.864.233/0001-06 - HIDREL ENGENHARIA LTDA;Não;Cons.Final;RUA DEPUTADO RAIMUNDO LEAL 06 - LOTE: 06 QUADRA: 51;JARDIM ELDORADO;SAO LUIS;MA;65066-635
74.140.070/0001-81 - SIGMARHOH DO BRASIL LTDA;Sim;Cons.Final;R PREFEITO HORACIO SOUZA LIMA 88;ROSA ELZE;SAO CRISTOVAO;SE;49100-000
77.641.876/0001-41 - HIDROINGA POCOS ARTESIANOS LTDA;Sim;Cons.Final;RODOVIA PR-317 KM 102 3029;PARQUE INDUSTRIAL;MARINGA;PR;87065-005
83.646.547/0017-53 - GEOSOL - GEOLOGIA E SONDAGENS S/A;Não;Cons.Final;RUA SAO VICENTE 255;OLHOS DAGUA;BELO HORIZONTE;MG;30390-570
87.972.063/0001-98 - HIDROGEO PERFURACOES LTDA;Sim;Cons.Final;RUA BERTO CIRIO 979;VILA SAO LUIS;CANOAS;RS;92420-030
91.851.154/0001-42 - HIDROPEL-HIDROGEOLOGIA E PERFURACOES LTD;Sim;Cons.Final;RUA JOSE ZALESKI 658;CAPAO RASO;CURITIBA;PR;81130-060
